ICD 10 CODE,DESCRIPTION,GROUP,
F09,Unspecified organic or symptomatic mental disorder;  Organic Psychosis NOS; Symptomatic Psychosis  NOS,MENTAL AND BEHAVIORAL DISORDERS,
F10.0,Mental and behavioural disorders due to use of alcohol in acute intoxication,MENTAL AND BEHAVIORAL DISORDERS,
F10.1,Mental and behavioural disorders due to use of alcohol:harmful use,MENTAL AND BEHAVIORAL DISORDERS,
F10.2,Mental and behavioural disorders due to use of alcohol: dependency syndrome,MENTAL AND BEHAVIORAL DISORDERS,
F10.3,Mental and behavioural disorders due to use of alcohol:withdrawal state,MENTAL AND BEHAVIORAL DISORDERS,
F10.4,Mental and behavioural disorders due to use of alcohol: withdrawal state with delirium,MENTAL AND BEHAVIORAL DISORDERS,
F10.5,Mental and behavioural disorders due to use of alcohol: psychotic disorder,MENTAL AND BEHAVIORAL DISORDERS,
F10.6,Mental and behavioural disorders due to use of alcohol: amnesic syndrome,MENTAL AND BEHAVIORAL DISORDERS,
F10.7,Mental and behavioural disorders due to use of alcohol: residual and late-onset psychotic disorder,MENTAL AND BEHAVIORAL DISORDERS,
F10.8,Mental and behavioural disorders due to use of alcohol: other mental and behavioural disorders,MENTAL AND BEHAVIORAL DISORDERS,
F10.9,Mental and behavioural disorders due to use of alcohol: unspecified mental and behavioural disorder,MENTAL AND BEHAVIORAL DISORDERS,
F11.1,Mental and behavioural disorders due to use of opioids: harmful use,MENTAL AND BEHAVIORAL DISORDERS,
F11.2,Mental and behavioural disorders due to use of opioids: dependence syndrome,MENTAL AND BEHAVIORAL DISORDERS,
F11.5,Mental and behavioural disorders due to use of opioids: psychotic disorder,MENTAL AND BEHAVIORAL DISORDERS,
F11.9,Mental and behavioural disorders due to use of opioids: unspecified mental and behavioural disorder,MENTAL AND BEHAVIORAL DISORDERS,
F12.0,Mental and behavioural disorders due to use of cannabinoids: acute intoxication,MENTAL AND BEHAVIORAL DISORDERS,
F12.5,Mental and behavioural disorders due to use of cannabinoids: psychotic disorder,MENTAL AND BEHAVIORAL DISORDERS,
F13.1,Mental and behavioural disorders due to use of sedatives or hypnotics: harmful use,MENTAL AND BEHAVIORAL DISORDERS,
F13.2,Mental and behavioural disorders due to use of sedatives or hypnotics: dependence syndrome,MENTAL AND BEHAVIORAL DISORDERS,
F13.3,Mental and behavioural disorders due to use of sedatives or hypnotics: withdrawal state,MENTAL AND BEHAVIORAL DISORDERS,
F13.4,Mental and behavioural disorders due to use of sedatives or hypnotics: withdrawal state with delirium,MENTAL AND BEHAVIORAL DISORDERS,
F13.5,Mental and behavioural disorders due to use of sedatives or hypnotics: psychotic disorder,MENTAL AND BEHAVIORAL DISORDERS,
F13.7,Mental and behavioural disorders due to use of sedatives or hypnotics: residual and late-onset psychotic disorder,MENTAL AND BEHAVIORAL DISORDERS,
F14.0,Mental and behavioural disorders due to use of cocaine: acute intoxication,MENTAL AND BEHAVIORAL DISORDERS,
F14.2,Mental and behavioural disorders due to use of cocaine: dependence syndrome,MENTAL AND BEHAVIORAL DISORDERS,
F14.5,Mental and behavioural disorders due to use of cocaine: psychotic disorder,MENTAL AND BEHAVIORAL DISORDERS,
F14.6,Mental and behavioural disorders due to use of cocaine: amnesic syndrome,MENTAL AND BEHAVIORAL DISORDERS,
F14.9,Mental and behavioural disorders due to use of cocaine: unspecified mental and behavioural disorder,MENTAL AND BEHAVIORAL DISORDERS,
F15.0,"Mental and behavioural disorders due to use of other stimulants, including caffeine: acute intoxication",MENTAL AND BEHAVIORAL DISORDERS,
F15.1,"Mental and behavioural disorders due to use of other stimulants, including caffeine: harmful use",MENTAL AND BEHAVIORAL DISORDERS,
F15.2,"Mental and behavioural disorders due to use of other stimulants, including caffeine: dependence syndrome",MENTAL AND BEHAVIORAL DISORDERS,
F15.3,"Mental and behavioural disorders due to use of other stimulants, including caffeine: withdrawal state",MENTAL AND BEHAVIORAL DISORDERS,
F15.5,"Mental and behavioural disorders due to use of other stimulants, including caffeine: psychotic disorder",MENTAL AND BEHAVIORAL DISORDERS,
F15.8,"Mental and behavioural disorders due to use of other stimulants, including caffeine: other mental and behavioural disorders",MENTAL AND BEHAVIORAL DISORDERS,
F15.9,"Mental and behavioural disorders due to use of other stimulants, including caffeine: unspecified mental and behavioural disorder",MENTAL AND BEHAVIORAL DISORDERS,
F16.0,Mental and behavioural disorders due to use of hallucinogens: acute intoxication,MENTAL AND BEHAVIORAL DISORDERS,
F16.1,Mental and behavioural disorders due to use of hallucinogens: harmful use,MENTAL AND BEHAVIORAL DISORDERS,
F16.2,Mental and behavioural disorders due to use of hallucinogens: dependence syndrome,MENTAL AND BEHAVIORAL DISORDERS,
F16.5,Mental and behavioural disorders due to use of hallucinogens: psychotic disorder,MENTAL AND BEHAVIORAL DISORDERS,
F17.2,Mental and behavioural disorders due to use of tobacco: dependence syndrome,MENTAL AND BEHAVIORAL DISORDERS,
F17.3,Mental and behavioural disorders due to use of tobacco: withdrawal state,MENTAL AND BEHAVIORAL DISORDERS,
F18.0,Mental and behavioural disorders due to use of volatile solvents: acute intoxication,MENTAL AND BEHAVIORAL DISORDERS,
F18.4,Mental and behavioural disorders due to use of volatile solvents: withdrawal state with delirium,MENTAL AND BEHAVIORAL DISORDERS,
F18.6,Mental and behavioural disorders due to use of volatile solvents: amnesic syndrome,MENTAL AND BEHAVIORAL DISORDERS,
F19.1,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances; misuse of drugs NOS: harmful use,MENTAL AND BEHAVIORAL DISORDERS,
F19.2,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances; misuse of drugs NOS: dependence syndrome,MENTAL AND BEHAVIORAL DISORDERS,
F19.3,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances; misuse of drugs NOS: withdrawal state,MENTAL AND BEHAVIORAL DISORDERS,
F19.5,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances; misuse of drugs NOS: psychotic disorder,MENTAL AND BEHAVIORAL DISORDERS,
F19.7,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances; misuse of drugs NOS: residual and late-onset psychotic disorder,MENTAL AND BEHAVIORAL DISORDERS,
F19.8,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances; misuse of drugs NOS: other mental and behavioural disorders,MENTAL AND BEHAVIORAL DISORDERS,
F19.9,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances; misuse of drugs NOS: unspecified mental and behavioural disorder,MENTAL AND BEHAVIORAL DISORDERS,
F20.0,Paranoid schizophrenia; Paraphrenic schizophrenia,MENTAL AND BEHAVIORAL DISORDERS,
F20.1,Hebephrenic schizophrenia; Disorganized schizophrenia; Hebephrenia,MENTAL AND BEHAVIORAL DISORDERS,
F20.2,Catatonic schizophrenia; Catatonic stupor; Schizophrenic catalepsy; Schizophrenic catatonia;  Schizophrenic flexibilitas cerea,MENTAL AND BEHAVIORAL DISORDERS,
F20.3,Undifferentiated schizophrenia; Atypical schizophrenia,MENTAL AND BEHAVIORAL DISORDERS,
F20.5,Residual schizophrenia; Chronic undifferentiated schizophrenia; Restzustand (schizophrenic); Schizophrenic residual state,MENTAL AND BEHAVIORAL DISORDERS,
F20.6,Simple schizophrenia,MENTAL AND BEHAVIORAL DISORDERS,
F20.8,Other schizophrenia; Cenesthopathic schizophrenia; Schizophreniform disorder NOS; Schizophreniform psychosis NOS,MENTAL AND BEHAVIORAL DISORDERS,
F20.9,"Schizophrenia, unspecified",MENTAL AND BEHAVIORAL DISORDERS,
F21,"Schizotypal disorder; Latent schizophrenic reaction; Schizophrenia borderline; Schizophrenia latent; Schizophrenia prepsychotic; Schizophrenia prodromal; Schizophrenia pseudoneurotic; 
Schizophrenia pseudopsychopathic; Schizotypal personality disorder",MENTAL AND BEHAVIORAL DISORDERS,
F22.0,Delusional disorder; Paranoia; Paranoid psychosis; Paranoid state; Paraphrenia (late); Sensitiver Beziehungswahn,MENTAL AND BEHAVIORAL DISORDERS,
F22.8,Other persistent delusional disorders; Delusional dysmorphophobia; Involutional paranoid state; Paranoia querulans,MENTAL AND BEHAVIORAL DISORDERS,
F23.0,Acute polymorphic psychotic disorder without symptoms of schizophrenia; Bouffée délirante without symptoms of schizophrenia or unspecified; Cycloid psychosis without symptoms of schizophrenia or unspecified,MENTAL AND BEHAVIORAL DISORDERS,
F23.1,Acute polymorphic psychotic disorder with symptoms of schizophrenia; Bouffée délirante with symptoms of schizophrenia; Cycloid psychosis with symptoms of schizophrenia,MENTAL AND BEHAVIORAL DISORDERS,
F23.2,Acute schizophrenia-like psychotic disorder;Acute (undifferentiated) schizophrenia;Brief schizophreniform disorder;  Brief schizophreniform psychosis; Oneirophrenia; Schizophrenic reaction,MENTAL AND BEHAVIORAL DISORDERS,
F23.3,Other acute predominantly delusional psychotic disorders; Paranoid reaction; Psychogenic paranoid psychosis,MENTAL AND BEHAVIORAL DISORDERS,
F23.8,Other acute and transient psychotic disorders,MENTAL AND BEHAVIORAL DISORDERS,
F23.9,"Acute and transient psychotic disorder, unspecified; Brief reactive psychosis NOS; Reactive psychosis",MENTAL AND BEHAVIORAL DISORDERS,
F24,Induced delusional disorder; Folie à deux; Induced paranoid disorder; Induced psychotic disorder,MENTAL AND BEHAVIORAL DISORDERS,
F25.0,"Schizoaffective disorder, manic type; Schizoaffective psychosis, manic type; Schizophreniform psychosis, manic type",MENTAL AND BEHAVIORAL DISORDERS,
F25.1,"Schizoaffective disorder, depressive type; Schizoaffective psychosis, depressive type; Schizophreniform psychosis, depressive type",MENTAL AND BEHAVIORAL DISORDERS,
F25.2,"Schizoaffective disorder, mixed type; Cyclic schizophrenia; Mixed schizophrenic and affective psychosis",MENTAL AND BEHAVIORAL DISORDERS,
F25.8,Other schizoaffective disorders,MENTAL AND BEHAVIORAL DISORDERS,
F25.9,"Schizoaffective disorder, unspecified; Schizoaffective psychosis NOS",MENTAL AND BEHAVIORAL DISORDERS,
F28,Other nonorganic psychotic disorders; Chronic hallucinatory psychosis,MENTAL AND BEHAVIORAL DISORDERS,
F29,Unspecified nonorganic psychosis; Psychosis NOS,MENTAL AND BEHAVIORAL DISORDERS,
F30.0,Hypomania,MENTAL AND BEHAVIORAL DISORDERS,
F30.1,Mania without psychotic symptoms,MENTAL AND BEHAVIORAL DISORDERS,
F30.2,Mania with psychotic symptoms; Mania with mood-congruent psychotic symptoms; Mania with mood-incongruent psychotic symptoms; Manic stupor,MENTAL AND BEHAVIORAL DISORDERS,
F30.9,"Manic episode, unspecified; Mania NOS",MENTAL AND BEHAVIORAL DISORDERS,
F31.0,"Bipolar affective disorder, current episode hypomanic",MENTAL AND BEHAVIORAL DISORDERS,
F31.1,"Bipolar affective disorder, current episode manic without psychotic symptoms",MENTAL AND BEHAVIORAL DISORDERS,
F31.2,"Bipolar affective disorder, current episode manic with psychotic symptoms",MENTAL AND BEHAVIORAL DISORDERS,
F31.3,"Bipolar affective disorder, current episode mild or moderate depression",MENTAL AND BEHAVIORAL DISORDERS,
F31.5,"Bipolar affective disorder, current episode severe depression with psychotic symptoms",MENTAL AND BEHAVIORAL DISORDERS,
F31.6,"Bipolar affective disorder, current episode mixed",MENTAL AND BEHAVIORAL DISORDERS,
F31.7,"Bipolar affective disorder, currently in remission",MENTAL AND BEHAVIORAL DISORDERS,
F31.8,Other bipolar affective disorders; Bipolar II disorder; Recurrent manic episodes NOS,MENTAL AND BEHAVIORAL DISORDERS,
F31.9,"Bipolar affective disorder, unspecified",MENTAL AND BEHAVIORAL DISORDERS,
F32.0,Mild depressive episode,MENTAL AND BEHAVIORAL DISORDERS,
F32.1,Moderate depressive episode,MENTAL AND BEHAVIORAL DISORDERS,
F32.2,"Severe depressive episode without psychotic symptoms; [Agitated depression, Major depression, Vital depression] single episode without psychotic symptoms",MENTAL AND BEHAVIORAL DISORDERS,
F32.3,Severe depressive episode with psychotic symptoms; Single episodes of major depression with psychotic symptoms; Single episodes of psychogenic depressive psychosis; Single episodes of psychotic depression; Single episodes of reactive depressive psychosis,MENTAL AND BEHAVIORAL DISORDERS,
F32.8,"Other depressive episodes; Atypical depression; Single episodes of ""masked"" depression NOS",MENTAL AND BEHAVIORAL DISORDERS,
F32.9,"Depressive episode, unspecified; Depression NOS; Depressive disorder NOS",MENTAL AND BEHAVIORAL DISORDERS,
F33.2,"Recurrent depressive disorder, current episode severe without psychotic symptoms; Endogenous depression without psychotic symptoms; Major depression, recurrent without psychotic symptoms; Manic-depressive psychosis, depressed type without psychotic symptoms; Vital depression, recurrent without psychotic symptoms",MENTAL AND BEHAVIORAL DISORDERS,
F33.3,"Recurrent depressive disorder, current episode severe with psychotic symptoms including Endogenous depression with psychotic symptoms; Manic-depressive psychosis, depressed type with psychotic symptoms; Recurrent severe episodes of  major depression with psychotic symptoms; Recurrent severe episodes of psychogenic depressive psychosis; Recurrent severe episodes of psychotic depression; Recurrent severe episodes of reactive depressive psychosis",MENTAL AND BEHAVIORAL DISORDERS,
F33.8,Other recurrent depressive disorders,MENTAL AND BEHAVIORAL DISORDERS,
F33.9,"Recurrent depressive disorder, unspecified; Monopolar depression NOS",MENTAL AND BEHAVIORAL DISORDERS,
F34.0,Cyclothymia; Affective personality disorder; Cycloid personality; Cyclothymic personality,MENTAL AND BEHAVIORAL DISORDERS,
F34.1,Dysthymia; Depressive neurosis; Depressive personality disorder; Neurotic depression; Persistent anxiety depression,MENTAL AND BEHAVIORAL DISORDERS,
F42.1,Predominantly compulsive acts [obsessional rituals],MENTAL AND BEHAVIORAL DISORDERS,
F42.2,Mixed obsessional thoughts and acts,MENTAL AND BEHAVIORAL DISORDERS,
F42.8,Other obsessive-compulsive disorders,MENTAL AND BEHAVIORAL DISORDERS,
F42.9,"Obsessive-compulsive disorder, unspecified",MENTAL AND BEHAVIORAL DISORDERS,
F43.0,Acute stress reaction including  Acute crisis reaction; Acute reaction to stress; Combat fatigue; Crisis state; Psychic shock,MENTAL AND BEHAVIORAL DISORDERS,
F43.1,Post-traumatic stress disorder; Traumatic neurosis,MENTAL AND BEHAVIORAL DISORDERS,
F43.2,Adjustment disorders; Culture shock; Grief reaction; Hospitalism in children,MENTAL AND BEHAVIORAL DISORDERS,
F43.8,Other reactions to severe stress,MENTAL AND BEHAVIORAL DISORDERS,
F44.0,Dissociative amnesia,MENTAL AND BEHAVIORAL DISORDERS,
F44.4,Dissociative motor disorders; Psychogenic aphonia; Psychogenic dysphonia,MENTAL AND BEHAVIORAL DISORDERS,
F44.8,Other dissociative [conversion] disorders; Ganser's syndrome; Multiple personality; Psychogenic confusion; Psychogenic twilight state,MENTAL AND BEHAVIORAL DISORDERS,
F44.9,"Dissociative [conversion] disorder, unspecified",MENTAL AND BEHAVIORAL DISORDERS,
F45.0,Somatization disorder; Briquet’s disorder; Multiple psychosomatic disorder,MENTAL AND BEHAVIORAL DISORDERS,
F45.1,Undifferentiated somatoform disorder; Undifferentiated psychosomatic disorder,MENTAL AND BEHAVIORAL DISORDERS,
F45.2,Hypochondriacal disorder; Body dysmorphic disorder; Dysmorphophobia (nondelusional); Hypochondriacal neurosis; Hypochondriasis; Nosophobia,MENTAL AND BEHAVIORAL DISORDERS,
F45.3,"Somatoform autonomic dysfunction; Cardiac neurosis; Da Costa's syndrome; Gastric neurosis ; Neurocirculatory asthenia 
Psychogenic forms of aerophagy; Psychogenic forms of  cough, Psychogenic forms of  diarrhea; Psychogenic forms of dyspepsia; Psychogenic forms of dysuria; psychogenic forms of flatulence; Psychogenic forms of hiccough; Psychogenic forms of hyperventilation; Psychogenic forms of increased frequency of micturition; Psychogenic forms of irritable bowel syndrome; Psychogenic forms of pylorospasm
Psychogenic urine retention
Psychogenic polyuria",MENTAL AND BEHAVIORAL DISORDERS,
F45.4,Persistent somatoform pain disorder; Psychalgia; Psychogenic backache; Psychogenic headache; Somatoform pain disorder,MENTAL AND BEHAVIORAL DISORDERS,
F45.8,"Other somatoform disorders; Psychogenic dysmenorrhoea; Psychogenic dysphagia, including ""globus hystericus""; Psychogenic pruritus; Psychogenic torticollis; Teeth-grinding",MENTAL AND BEHAVIORAL DISORDERS,
F45.9,"Somatoform disorder, unspecified; Psychosomatic disorder NOS",MENTAL AND BEHAVIORAL DISORDERS,
F48.8,"Other specified neurotic disorders; Dhat syndrome; Occupational neurosis, including writer's cramp; Psychasthenia; Psychasthenic neurosis; Psychogenic syncope",MENTAL AND BEHAVIORAL DISORDERS,
F48.9,"Neurotic disorder, unspecified; Neurosis NOS",MENTAL AND BEHAVIORAL DISORDERS,
F50.2,Bulimia nervosa; Bulimia NOS; Hyperorexia nervosa,MENTAL AND BEHAVIORAL DISORDERS,
F53.0,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified; Depression postnatal NOS; Depression postpartum NOS",MENTAL AND BEHAVIORAL DISORDERS,
F53.1,"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified; Puerperal psychosis NOS",MENTAL AND BEHAVIORAL DISORDERS,
F53.9,"Puerperal mental disorder, unspecified",MENTAL AND BEHAVIORAL DISORDERS,
F55,Abuse of non-dependence-producing substances; Abuse of antacids; Abuse of herbal or folk remedies; Abuse of steroids or hormones; Abuse of vitamins; Laxative habit,MENTAL AND BEHAVIORAL DISORDERS,
F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors; Psychogenic physiological dysfunction NOS,MENTAL AND BEHAVIORAL DISORDERS,
F70.0,"Mild mental retardation; feeble-mindedness; mild mental subnormality with the statement of no, or minimal, impairment of behaviour",MENTAL AND BEHAVIORAL DISORDERS,
F72.9,Severe mental retardation; severe mental subnormality without mention of impairment of behaviour,MENTAL AND BEHAVIORAL DISORDERS,
F78.1,Other mental retardation with significant impairment of behaviour requiring attention or treatment,MENTAL AND BEHAVIORAL DISORDERS,
F78.8,Other mental retardation with other impairments of behaviour,MENTAL AND BEHAVIORAL DISORDERS,
F78.9,Other mental retardation without mention of impairment of behaviour,MENTAL AND BEHAVIORAL DISORDERS,
F79.8,Unspecified mental retardation; mental deficiency NOS; mental subnormality NOS with  other impairments of behaviour,MENTAL AND BEHAVIORAL DISORDERS,
F80.3,Acquired aphasia with epilepsy [Landau-Kleffner],MENTAL AND BEHAVIORAL DISORDERS,
F82,Specific developmental disorder of motor function; Clumsy child syndrome; Developmental coordination disorder; Developmental dyspraxia,MENTAL AND BEHAVIORAL DISORDERS,
F84.0,Childhood autism; Autistic disorder; Infantile autism; Infantile psychosis; Kanner's syndrome,MENTAL AND BEHAVIORAL DISORDERS,
F84.2,Rett's syndrome,MENTAL AND BEHAVIORAL DISORDERS,
F84.3,Other childhood disintegrative disorder; Dementia infantilis; Disintegrative psychosis; Heller's syndrome; Symbiotic psychosis,MENTAL AND BEHAVIORAL DISORDERS,
F84.5,Asperger's syndrome; Autistic psychopathy; Schizoid disorder of childhood,MENTAL AND BEHAVIORAL DISORDERS,
F84.9,"Pervasive developmental disorder, unspecified",MENTAL AND BEHAVIORAL DISORDERS,
F89,Unspecified disorder of psychological development; Developmental disorder NOS,MENTAL AND BEHAVIORAL DISORDERS,
F90.8,Other hyperkinetic disorders,MENTAL AND BEHAVIORAL DISORDERS,
F92.0,Depressive conduct disorder,MENTAL AND BEHAVIORAL DISORDERS,
F98.1,Nonorganic encopresis; Functional encopresis; Incontinence of faeces of nonorganic origin; Psychogenic encopresis,MENTAL AND BEHAVIORAL DISORDERS,
F99,"Mental disorder, not otherwise specified; Mental illness NOS",MENTAL AND BEHAVIORAL DISORDERS,
E88.0,"Disorders of plasma-protein metabolism, not elsewhere classified; a-1-Antitrypsin deficiency; Bisalbuminaemia",METABOLIC DISORDERS,
E88.1,"Lipodystrophy, not elsewhere classified; Lipodystrophy NOS",METABOLIC DISORDERS,
E88.8,Other specified metabolic disorders; Launois-Bensaude adenolipomatosis; Trimethylaminuria,METABOLIC DISORDERS,
E88.9,"Metabolic disorder, unspecified",METABOLIC DISORDERS,
P70.0,Syndrome of infant of mother with gestational diabetes,METABOLIC DISORDERS OF THE NEWBORN,
P70.1,Syndrome of infant of a diabetic mother; Maternal diabetes mellitus (pre-existing) affecting fetus or newborn with hypoglycaemia,METABOLIC DISORDERS OF THE NEWBORN,
P70.2,Neonatal diabetes mellitus,METABOLIC DISORDERS OF THE NEWBORN,
P70.3,Iatrogenic neonatal hypoglycaemia,METABOLIC DISORDERS OF THE NEWBORN,
P70.4,Other neonatal hypoglycaemia; Transitory neonatal hypoglycaemia,METABOLIC DISORDERS OF THE NEWBORN,
P70.9,"Transitory disorder of carbohydrate metabolism of fetus and newborn, unspecified",METABOLIC DISORDERS OF THE NEWBORN,
P71.0,Cow's milk hypocalcaemia in newborn,METABOLIC DISORDERS OF THE NEWBORN,
P71.1,Other neonatal hypocalcaemia,METABOLIC DISORDERS OF THE NEWBORN,
P71.3,Neonatal tetany without calcium or magnesium deficiency; Neonatal tetany NOS,METABOLIC DISORDERS OF THE NEWBORN,
P71.4,Transitory neonatal hypoparathyroidism,METABOLIC DISORDERS OF THE NEWBORN,
P71.9,"Transitory neonatal disorder of calcium and magnesium metabolism, unspecified",METABOLIC DISORDERS OF THE NEWBORN,
P72.0,"Neonatal goitre, not elsewhere classified; Transitory congenital goitre with normal function",METABOLIC DISORDERS OF THE NEWBORN,
P72.1,Transitory neonatal hyperthyroidism; neonatal thyrotoxicosis,METABOLIC DISORDERS OF THE NEWBORN,
P72.2,"Other transitory neonatal disorders of thyroid function, not elsewhere classified; Transitory neonatal hypothyroidism",METABOLIC DISORDERS OF THE NEWBORN,
P72.8,Other specified transitory neonatal endocrine disorders,METABOLIC DISORDERS OF THE NEWBORN,
P72.9,"Transitory neonatal endocrine disorder, unspecified",METABOLIC DISORDERS OF THE NEWBORN,
P74.0,Late metabolic acidosis of newborn,METABOLIC DISORDERS OF THE NEWBORN,
P74.1,Dehydration of newborn,METABOLIC DISORDERS OF THE NEWBORN,
P74.2,Disturbances of sodium balance of newborn,METABOLIC DISORDERS OF THE NEWBORN,
P74.4,Other transitory electrolyte disturbances of newborn,METABOLIC DISORDERS OF THE NEWBORN,
P74.8,Other transitory metabolic disturbances of newborn,METABOLIC DISORDERS OF THE NEWBORN,
P74.9,"Transitory metabolic disturbance of newborn, unspecified",METABOLIC DISORDERS OF THE NEWBORN,
P80.9,"Hypothermia of newborn, unspecified",METABOLIC DISORDERS OF THE NEWBORN,
P81.0,Environmental hyperthermia of newborn,METABOLIC DISORDERS OF THE NEWBORN,
P81.8,Other specified disturbances of temperature regulation of newborn,METABOLIC DISORDERS OF THE NEWBORN,
P81.9,"Disturbance of temperature regulation of newborn, unspecified; Fever of newborn NOS",METABOLIC DISORDERS OF THE NEWBORN,
P83.1,Neonatal erythema toxicum,METABOLIC DISORDERS OF THE NEWBORN,
P83.4,Breast engorgement of newborn; Noninfective mastitis of newborn,METABOLIC DISORDERS OF THE NEWBORN,
P83.8,Other specified conditions of integument specific to fetus and newborn; Bronze baby syndrome; Neonatal scleroderma; Urticaria neonatorum,METABOLIC DISORDERS OF THE NEWBORN,
O02.0,Blighted ovum and nonhydatidiform mole; Carneous mole; Fleshy mole; Intrauterine mole NOS; Pathological ovum,MISCARRIAGE,
O02.1,Missed abortion; Early fetal death with retention of dead fetus,MISCARRIAGE,
O02.8,Other specified abnormal products of conception,MISCARRIAGE,
O02.9,"Abnormal product of conception, unspecified",MISCARRIAGE,
O03.4,"Spontaneous abortion, incomplete, without complication",MISCARRIAGE,
O03.9,"Spontaneous abortion, complete or unspecified, without complication",MISCARRIAGE,
O05.4,"Other abortion, incomplete, without complication",MISCARRIAGE,
O05.9,"Other abortion, complete or unspecified, without complication",MISCARRIAGE,
O06.4,"Unspecified abortion or induced abortion NOS, incomplete, without complication",MISCARRIAGE,
O06.9,"Unspecified abortion or induced abortion NOS, complete or unspecified, without complication",MISCARRIAGE,
O07.0,"Failed medical abortion, complicated by genital tract and pelvic infection with Endometritis; Oophoritis; Parametritis; Parametritis; Pelvic peritonitis; Salpingitis; Salpingo-oophoritis; Sepsis; Septic shock; Septicaemia",MISCARRIAGE,
O07.3,Failed medical abortion with other and unspecified complications with Shock following abortion and ectopic and molar pregnancy; Circulatory collapase; Postoperative Shock; Renal failure following abortion and ectopic and molar pregnancy; Oliguria; Acute Renal failure; Renal shutdown; Renal tubular necrosis; Uraemia,MISCARRIAGE,
O07.4,Failed medical abortion without complication; Failed medical abortion NOS,MISCARRIAGE,
O07.8,Other and unspecified failed attempted abortion with other and unspecified complications with with  Shock following abortion and ectopic and molar pregnancy; Circulatory collapase; Postoperative Shock; Renal failure following abortion and ectopic and molar pregnancy; Afibrinogenaemia; Defibrination syndrome; Intravascular coagulation,MISCARRIAGE,
O07.9,Other and unspecified failed attempted abortion without complication; Failed attempted abortion NOS,MISCARRIAGE,
O03.0,"Spontaneous abortion, incomplete, complicated by Genital tract and pelvic infection with Genital tract and pelvic infection following abortion and ectopic and molar pregnancy; Endometritis; Oophoritis; Parametritis; Pelvic peritonitis; Salpingitis; Salpingo-oophoritis and/or Sepsis and/or Septic shock and/or Septicaemia",MISCARRIAGE WITH COMPLICATIONS,
O03.1,"Spontaneous abortion, incomplete, complicated Delayed or excessive haemorrhage with Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy; Afibrinogenaemia; Defibrination syndrome; Intravascular coagulation",MISCARRIAGE WITH COMPLICATIONS,
O03.2,"Spontaneous abortion, incomplete, complicated by Embolism with  Embolism NOS or Air embolism or Amniotic fluid embolism or Blood-clot embolism or Pulmonary embolism or Pyaemic embolism or Septic or septicopyaemic embolism or Soap embolism",MISCARRIAGE WITH COMPLICATIONS,
O03.3,"Spontaneous abortion, incomplete, with other and unspecified complications with Shock following abortion and ectopic and molar pregnancy; Circulatory collapase; Postoperative Shock; Renal failure following abortion and ectopic and molar pregnancy; Oliguria; Acute Renal failure; Renal shutdown; Renal tubular necrosis; Uraemia",MISCARRIAGE WITH COMPLICATIONS,
O03.5,"Spontaneous abortion, complete, complicated by Genital tract and pelvic infection with Genital tract and pelvic infection following abortion and ectopic and molar pregnancy; Endometritis; Oophoritis; Parametritis; Pelvic peritonitis; Salpingitis;  Salpingo-oophoritis and/or Sepsis and/or Septic shock and/or Septicaemia",MISCARRIAGE WITH COMPLICATIONS,
O03.6,"Spontaneous abortion, complete or unspecified,  complicated Delayed or excessive haemorrhage with Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy; Afibrinogenaemia; Defibrination syndrome; Intravascular coagulation",MISCARRIAGE WITH COMPLICATIONS,
O03.7,"Spontaneous abortion, complete or unspecified, with other  complicated by Embolism with Embolism following abortion and ectopic and molar pregnancy; Embolism NOS; Air embolism; Amniotic fluid embolism; Blood-clot embolism; Pulmonary embolism; Pyaemic embolism",MISCARRIAGE WITH COMPLICATIONS,
O03.8,"Spontaneous abortion, complete or unspecified,  with other and unspecified complications with Shock following abortion and ectopic and molar pregnancy; Circulatory collapase; Postoperative Shock; Renal failure following abortion and ectopic and molar pregnancy",MISCARRIAGE WITH COMPLICATIONS,
O05.0,"Other abortion, incomplete, complicated by Genital tract and pelvic infection with Endometritis and/or Oophoritis and/or Parametritis and/or Pelvic peritonitis and/or Salpingitis and/or Salpingo-oophoritis and/or Sepsis and/or Septic shock and/or Septicaemia",MISCARRIAGE WITH COMPLICATIONS,
O05.1,"Other abortion, incomplete, complicated Delayed or excessive haemorrhage with Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy; Afibrinogenaemia; Defibrination syndrome; Intravascular coagulation",MISCARRIAGE WITH COMPLICATIONS,
O05.8,"Other abortion, complete, with other and unspecified complications with  Shock following abortion and ectopic and molar pregnancy; Circulatory collapase; Postoperative Shock; Renal failure following abortion and ectopic and molar pregnancy; Oliguria Acute",MISCARRIAGE WITH COMPLICATIONS,
