CODE,DIAGNOSIS,ACR group,ICD 10 Chapter Number,ICD 10 chapter description,ICD 10 block,NOTES
K44.9,DIAPHRAGMATIC HERNIA/ OESOPHAGEAL HIATUS HERNIA/ SLIDING HIATUS HERNIA/ PARAOESOPHAGEAL HERNIA WITHOUT OBSTRUCTION OR GANGRENE; DIAPHRAGMATIC HERNIA NOS; OESOPHAGEAL HIATUS HERNIA NOS; SLIDING HIATUS HERNIA NOS; PARAOESOPHAGEAL HERNIA NOS,,11,Disease of the digestive system,Hernia,1
K45.0,"OTHER SPECIFIED ABDOMINAL HERNIA/ ABDOMINAL HERNIA, SPECIFIED SITE NEC/ LUMBAR HERNIA/ OBTURATOR HERNIA/ PUDENDAL HERNIA/ RETROPERITONEAL HERNIA/ SCIATIC HERNIA WITH OBSTRUCTION, WITHOUT GANGRENE",,11,Disease of the digestive system,Hernia,1
K45.1,"OTHER SPECIFIED ABDOMINAL HERNIA/ ABDOMINAL HERNIA, SPECIFIED SITE NEC/ LUMBAR HERNIA/ OBTURATOR HERNIA/ PUDENDAL HERNIA/ RETROPERITONEAL HERNIA/ SCIATIC HERNIA WITH OBSTRUCTION, WITH GANGRENE",,11,Disease of the digestive system,Hernia,1
K45.8,"OTHER SPECIFIED ABDOMINAL HERNIA/ ABDOMINAL HERNIA, SPECIFIED SITE NEC/ LUMBAR HERNIA/ OBTURATOR HERNIA/ PUDENDAL HERNIA/ RETROPERITONEAL HERNIA/ SCIATIC HERNIA WITHOUT OBSTRUCTION, WITHOUT GANGRENE",,11,Disease of the digestive system,Hernia,1
K46.0,"UNSPECIFIED ABDOMINAL HERNIA / ENTEROCELE/ EPIPLOCELE/ HERNIA NOS/ INTERSTITIAL HERNIA/ INTESTINAL HERNIA/ INTRA-ABDOMINAL HERNIA WITH OBSTRUCTION, WITHOUT GANGRENE",,11,Disease of the digestive system,Hernia,1
K46.1,"UNSPECIFIED ABDOMINAL HERNIA / ENTEROCELE/ EPIPLOCELE/ HERNIA NOS/ INTERSTITIAL HERNIA/ INTESTINAL HERNIA/ INTRA-ABDOMINAL HERNIA WITH OBSTRUCTION, WITH GANGRENE",,11,Disease of the digestive system,Hernia,1
K46.9,UNSPECIFIED ABDOMINAL HERNIA / ENTEROCELE/ EPIPLOCELE/ HERNIA NOS/ INTERSTITIAL HERNIA/ INTESTINAL HERNIA/ INTRA-ABDOMINAL HERNIA WITHOUT OBSTRUCTION OR GANGRENE; ABDOMINAL HERNIA NOS,,11,Disease of the digestive system,Hernia,1
K50.0,CROHN'S DISEASE OF SMALL INTESTINE; CROHN'S DISEASE [REGIONAL ENTERITIS] OF DUODENUM; CROHN'S DISEASE [REGIONAL ENTERITIS] OF ILEUM; CROHN'S DISEASE [REGIONAL ENTERITIS] OF JEJUNUM; REGIONAL ILEITIS; TERMINAL ILEITIS,INFLAMMATORY BOWEL DISEASE,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M07.40*,"ARTHROPATHY IN CROHN'S DISEASE [REGIONAL ENTERITIS], MULTIPLE SITES ",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M07.41*,"ARTHROPATHY IN CROHN'S DISEASE [REGIONAL ENTERITIS], SHOULDER REGION (CLAVICLE, SCAPULA, ACROMIOCLAVICULAR JOINT, GLENOHUMERAL JOINT, STERNOCLAVICULAR JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M07.42*,"ARTHROPATHY IN CROHN'S DISEASE [REGIONAL ENTERITIS], UPPER ARM ( HUMERUS, ELBOW JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M07.43*,"ARTHROPATHY IN CROHN'S DISEASE [REGIONAL ENTERITIS], FOREARM ( RADIUS, ULNA, WRIST JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M07.44*,"ARTHROPATHY IN CROHN'S DISEASE [REGIONAL ENTERITIS], HAND (CARPUS, FINGERS, METACARPUS, JOINTS BETWEEN THESE BONES)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M07.45*,"ARTHROPATHY IN CROHN'S DISEASE [REGIONAL ENTERITIS], PELVIC REGION AND THIGH (BUTTOCK, FEMUR, PELVIS, HIP JOINT, SACROILIAC JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M07.46*,"ARTHROPATHY IN CROHN'S DISEASE [REGIONAL ENTERITIS], LOWER LEG (FIBULA, TIBIA, KNEE JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M07.47*,"ARTHROPATHY IN CROHN'S DISEASE [REGIONAL ENTERITIS], ANKLE AND FOOT (METATARSUS, TARSUS, TOES, ANKLE JOINT, OTHER JOINTS IN FOOT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M07.48*,"ARTHROPATHY IN CROHN'S DISEASE [REGIONAL ENTERITIS], OTHER SITES (HEAD, NECK, RIBS, SKULL, TRUNK, VERTEBRAL COLUMN)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M07.49*,"ARTHROPATHY IN CROHN'S DISEASE [REGIONAL ENTERITIS], SITE UNSPECIFIED",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M09.10*,"JUVENILE ARTHRITIS IN CROHN'S DISEASE [REGIONAL ENTERITIS], MULTIPLE SITES ",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M09.11*,"JUVENILE ARTHRITIS IN CROHN'S DISEASE [REGIONAL ENTERITIS], SHOULDER REGION (CLAVICLE, SCAPULA, ACROMIOCLAVICULAR JOINT, GLENOHUMERAL JOINT, STERNOCLAVICULAR JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M09.12*,"JUVENILE ARTHRITIS IN CROHN'S DISEASE [REGIONAL ENTERITIS], UPPER ARM ( HUMERUS, ELBOW JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M09.13*,"JUVENILE ARTHRITIS IN CROHN'S DISEASE [REGIONAL ENTERITIS], FOREARM ( RADIUS, ULNA, WRIST JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M09.14*,"JUVENILE ARTHRITIS IN CROHN'S DISEASE [REGIONAL ENTERITIS], HAND (CARPUS, FINGERS, METACARPUS, JOINTS BETWEEN THESE BONES)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M09.15*,"JUVENILE ARTHRITIS IN CROHN'S DISEASE [REGIONAL ENTERITIS], PELVIC REGION AND THIGH (BUTTOCK, FEMUR, PELVIS, HIP JOINT, SACROILIAC JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M09.16*,"JUVENILE ARTHRITIS IN CROHN'S DISEASE [REGIONAL ENTERITIS], LOWER LEG (FIBULA, TIBIA, KNEE JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M09.17*,"JUVENILE ARTHRITIS IN CROHN'S DISEASE [REGIONAL ENTERITIS], ANKLE AND FOOT (METATARSUS, TARSUS, TOES, ANKLE JOINT, OTHER JOINTS IN FOOT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M09.18*,"JUVENILE ARTHRITIS IN CROHN'S DISEASE [REGIONAL ENTERITIS], OTHER SITES (HEAD, NECK, RIBS, SKULL, TRUNK, VERTEBRAL COLUMN)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.0+M09.19*,"JUVENILE ARTHRITIS IN CROHN'S DISEASE [REGIONAL ENTERITIS], SITE UNSPECIFIED",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.1,CROHN'S DISEASE OF LARGE INTESTINE; GRANULOMATOUS COLITIS; REGIONAL COLITIS; CROHN'S DISEASE [REGIONAL ENTERITIS] OF COLON; CROHN'S DISEASE [REGIONAL ENTERITIS] OF LARGE BOWEL; CROHN'S DISEASE [REGIONAL ENTERITIS] OF RECTUM,INFLAMMATORY BOWEL DISEASE,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.8,OTHER CROHN'S DISEASE; CROHN'S DISEASE OF BOTH SMALL AND LARGE INTESTINE,INFLAMMATORY BOWEL DISEASE,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K50.9,"CROHN'S DISEASE [REGIONAL ENTERITIS], UNSPECIFIED; CROHN'S DISEASE NOS; REGIONAL ENTERITIS NOS; GRANULOMATOUS ENTERITIS NOS",INFLAMMATORY BOWEL DISEASE,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0,ULCERATIVE (CHRONIC) ENTEROCOLITIS,INFLAMMATORY BOWEL DISEASE,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M07.50*,"ARTHROPATHY IN ULCERATIVE COLITIS, MULTIPLE SITES ",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M07.51*,"ARTHROPATHY IN ULCERATIVE COLITIS, SHOULDER REGION (CLAVICLE, SCAPULA, ACROMIOCLAVICULAR JOINT, GLENOHUMERAL JOINT, STERNOCLAVICULAR JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M07.52*,"ARTHROPATHY IN ULCERATIVE COLITIS, UPPER ARM ( HUMERUS, ELBOW JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M07.53*,"ARTHROPATHY IN ULCERATIVE COLITIS, FOREARM ( RADIUS, ULNA, WRIST JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M07.54*,"ARTHROPATHY IN ULCERATIVE COLITIS, HAND (CARPUS, FINGERS, METACARPUS, JOINTS BETWEEN THESE BONES)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M07.55*,"ARTHROPATHY IN ULCERATIVE COLITIS, PELVIC REGION AND THIGH (BUTTOCK, FEMUR, PELVIS, HIP JOINT, SACROILIAC JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M07.56*,"ARTHROPATHY IN ULCERATIVE COLITIS, LOWER LEG (FIBULA, TIBIA, KNEE JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M07.57*,"ARTHROPATHY IN ULCERATIVE COLITIS, ANKLE AND FOOT (METATARSUS, TARSUS, TOES, ANKLE JOINT, OTHER JOINTS IN FOOT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M07.58*,"ARTHROPATHY IN ULCERATIVE COLITIS, OTHER SITES (HEAD, NECK, RIBS, SKULL, TRUNK, VERTEBRAL COLUMN)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M07.59*,"ARTHROPATHY IN ULCERATIVE COLITIS, SITE UNSPECIFIED",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M09.20*,"JUVENILE ARTHRITIS IN ULCERATIVE COLITIS, MULTIPLE SITES ",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M09.21*,"JUVENILE ARTHRITIS IN ULCERATIVE COLITIS, SHOULDER REGION (CLAVICLE, SCAPULA, ACROMIOCLAVICULAR JOINT, GLENOHUMERAL JOINT, STERNOCLAVICULAR JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M09.22*,"JUVENILE ARTHRITIS IN ULCERATIVE COLITIS, UPPER ARM ( HUMERUS, ELBOW JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M09.23*,"JUVENILE ARTHRITIS IN ULCERATIVE COLITIS, FOREARM ( RADIUS, ULNA, WRIST JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M09.24*,"JUVENILE ARTHRITIS IN ULCERATIVE COLITIS, HAND (CARPUS, FINGERS, METACARPUS, JOINTS BETWEEN THESE BONES)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M09.25*,"JUVENILE ARTHRITIS IN ULCERATIVE COLITIS, PELVIC REGION AND THIGH (BUTTOCK, FEMUR, PELVIS, HIP JOINT, SACROILIAC JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M09.26*,"JUVENILE ARTHRITIS IN ULCERATIVE COLITIS, LOWER LEG (FIBULA, TIBIA, KNEE JOINT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M09.27*,"JUVENILE ARTHRITIS IN ULCERATIVE COLITIS, ANKLE AND FOOT (METATARSUS, TARSUS, TOES, ANKLE JOINT, OTHER JOINTS IN FOOT)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M09.28*,"JUVENILE ARTHRITIS IN ULCERATIVE COLITIS, OTHER SITES (HEAD, NECK, RIBS, SKULL, TRUNK, VERTEBRAL COLUMN)",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.0+M09.29*,"JUVENILE ARTHRITIS IN ULCERATIVE COLITIS, SITE UNSPECIFIED",,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.1,ULCERATIVE (CHRONIC) ILEOCOLITIS,INFLAMMATORY BOWEL DISEASE,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.2,ULCERATIVE (CHRONIC) PROCTITIS,INFLAMMATORY BOWEL DISEASE,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.3,ULCERATIVE (CHRONIC) RECTOSIGMOIDITIS,INFLAMMATORY BOWEL DISEASE,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.4,PSEUDOPOLYPOSIS OF COLON,,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.5,MUCOSAL PROCTOCOLITIS,INFLAMMATORY BOWEL DISEASE,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.8,OTHER ULCERATIVE COLITIS,INFLAMMATORY BOWEL DISEASE,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K51.9,"ULCERATIVE COLITIS, UNSPECIFIED; ULCERATIVE ENTERITIS NOS",INFLAMMATORY BOWEL DISEASE,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K52.0,GASTROENTERITIS AND COLITIS DUE TO RADIATION,ACUTE GASTROENTERITIS,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K52.1,TOXIC GASTROENTERITIS AND COLITIS,ACUTE GASTROENTERITIS,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K52.2,ALLERGIC AND DIETETIC GASTROENTERITIS AND COLITIS; FOOD HYPERSENSITIVITY GASTROENTERITIS OR COLITIS,ACUTE GASTROENTERITIS,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K52.8,OTHER SPECIFIED NONINFECTIVE GASTROENTERITIS AND COLITIS; EOSINOPHILIC GASTRITIS OR GASTROENTERITIS,ACUTE GASTROENTERITIS,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K52.9,"NONINFECTIVE GASTROENTERITIS AND COLITIS, UNSPECIFIED; DIARRHOEA SPECIFIED AS NONINFECTIVE, OR NOS IN COUNTRIES WHERE THE CONDITIONS CAN BE PRESUMED TO BE OF NONINFECTIOUS ORIGIN; ENTERITIS SPECIFIED AS NONINFECTIVE, OR NOS IN COUNTRIES WHERE THE CONDITIONS CAN BE PRESUMED TO BE OF NONINFECTIOUS ORIGIN; ILEITIS SPECIFIED AS NONINFECTIVE, OR NOS IN COUNTRIES WHERE THE CONDITIONS CAN BE PRESUMED TO BE OF NONINFECTIOUS ORIGIN; JEJUNITIS SPECIFIED AS NONINFECTIVE, OR NOS IN COUNTRIES WHERE THE CONDITIONS CAN BE PRESUMED TO BE OF NONINFECTIOUS ORIGIN; SIGMOIDITIS SPECIFIED AS NONINFECTIVE, OR NOS IN COUNTRIES WHERE THE CONDITIONS CAN BE PRESUMED TO BE OF NONINFECTIOUS ORIGIN",ACUTE GASTROENTERITIS,11,Disease of the digestive system,Noninfective enteritis and colitis,1
K55.0,ACUTE VASCULAR DISORDERS OF INTESTINE; ACUTE FULMINANT ISCHAEMIC COLITIS; ACUTE INTESTINAL INFARCTION; ACUTE SMALL INTESTINE ISCHAEMIA; MESENTRIC ARTERY EMBOLISM; MESENTRIC VEIN EMBOLISM; MESENTRIC ARTERY INFARCTION; MESENTRIC VEIN INFARCTION; MESENTRIC ARTERY THROMBOSIS; MESENTRIC VEIN THROMBOSIS; SUBACUTE ISCHAEMIC COLITIS,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K55.1,CHRONIC VASCULAR DISORDERS OF INTESTINE; CHRONIC ISCHAEMIC COLITIS; CHRONIC ISCHAEMIC ENTERITIS; CHRONIC ISCHAEMIC ENTEROCOLITIS; ISCHAEMIC STRICTURE OF INTESTINE; MESENTRIC ATHEROSCLEROSIS; MESENTRIC VASCULAR INSUFFICIENCY,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K55.2,ANGIODYSPLASIA OF COLON,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K55.8,OTHER VASCULAR DISORDERS OF INTESTINE,,11,Disease of the digestive system,Other diseases of intestines,1
K55.9,"VASCULAR DISORDER OF INTESTINE, UNSPECIFIED; ISCHAEMIC COLITIS NOS; ISCHAEMIC ENTERITIS NOS; ISCHAEMIC ENTEROCOLITIS NOS",INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K56.0,PARALYTIC ILEUS; PARALYSIS OF BOWEL; PARALYSIS OF COLON; PARALYSIS OF INTESTINE,INTESTINAL OBSTRUCTION,11,Disease of the digestive system,Other diseases of intestines,1
K56.1,INTUSSUSCEPTION; INTUSSUSCEPTION OR INVAGINATION OF BOWEL; INTUSSUSCEPTION OR INVAGINATION OF COLON; INTUSSUSCEPTION OR INVAGINATION OF INTESTINE; INTUSSUSCEPTION OR INVAGINATION OF RECTUM,INTESTINAL OBSTRUCTION,11,Disease of the digestive system,Other diseases of intestines,1
K56.2,VOLVULUS; STRANGULATION OF COLON OR INTESTINE; TORSION OF COLON OR INTESTINE; TWIST OF COLON OR INTESTINE,INTESTINAL OBSTRUCTION,11,Disease of the digestive system,Other diseases of intestines,1
K56.3,GALLSTONE ILEUS; OBSTRUCTION OF INTESTINE BY GALLSTONE,INTESTINAL OBSTRUCTION,11,Disease of the digestive system,Other diseases of intestines,1
K56.4,OTHER IMPACTION OF INTESTINE; ENTEROLITH; IMPACTION OF COLON; IMFACTION OF FAECAL,INTESTINAL OBSTRUCTION,11,Disease of the digestive system,Other diseases of intestines,1
K56.5,INTESTINAL ADHESIONS [BANDS] WITH OBSTRUCTION; PERITONEAL ADHESIONS [BANDS] WITH INTESTINAL OBSTRUCTION,INTESTINAL OBSTRUCTION,11,Disease of the digestive system,Other diseases of intestines,1
K56.6,OTHER AND UNSPECIFIED INTESTINAL OBSTRUCTION; ENTEROTENOSIS; OBSTRUCTIVE ILEUS NOS; OCCLUSION OF COLON OR INTESTINE; STENOSIS OF COLON OR INTESTINE; STRICTURE OF COLON OR INTESTINE,INTESTINAL OBSTRUCTION,11,Disease of the digestive system,Other diseases of intestines,1
K56.7,"ILEUS, UNSPECIFIED",INTESTINAL OBSTRUCTION,11,Disease of the digestive system,Other diseases of intestines,1
K57.0,DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF SMALL INTESTINE WITH PERFORATION AND ABSCESS; DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF SMALL INTESTINE WITH PERITONITIS,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K57.1,DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF SMALL INTESTINE WITHOUT PERFORATION OR ABSCESS; DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF SMALL INTESTINE NOS,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K57.2,DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF LARGE INTESTINE WITH PERFORATION AND ABSCESS; DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF COLON WITH PERITONITIS,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K57.3,DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF LARGE INTESTINE WITHOUT PERFORATION OR ABSCESS; DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF COLON NOS,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K57.4,DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF BOTH SMALL AND LARGE INTESTINE WITH PERFORATION AND ABSCESS; DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF BOTH SMALL AND LARGE INTESTINE WITH PERITONITIS,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K57.5,DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF BOTH SMALL AND LARGE INTESTINE WITHOUT PERFORATION OR ABSCESS; DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF BOTH SMALL AND LARGE INTESTINE NOS,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K57.8,"DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF INTESTINE, PART UNSPECIFIED, WITH PERFORATION AND ABSCESS; DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF INTESTINE NOS WITH PERITONITIS",INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K57.9,"DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF INTESTINE, PART UNSPECIFIED, WITHOUT PERFORATION OR ABSCESS; DIVERTICULAR DISEASE/ DIVERTICULITIS/ DIVERTICULOSIS/ DIVERTICULUM OF INTESTINE NOS",INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K58.0,IRRITABLE BOWEL SYNDROME WITH DIARRHOEA,ACUTE GASTROENTERITIS,11,Disease of the digestive system,Other diseases of intestines,1
K58.9,IRRITABLE BOWEL SYNDROME WITHOUT DIARRHOEA; IRRITABLE BOWEL SYNDROME NOS; IRRITABLE COLON NOS,,11,Disease of the digestive system,Other diseases of intestines,1
K59.0,CONSTIPATION,BOWEL MOVEMENT DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K59.1,FUNCTIONAL DIARRHOEA,,11,Disease of the digestive system,Other diseases of intestines,1
K59.2,"NEUROGENIC BOWEL, NOT ELSEWHERE CLASSIFIED",,11,Disease of the digestive system,Other diseases of intestines,1
K59.3,"MEGACOLON, NOT ELSEWHERE CLASSIFIED; DILATATION OF COLON; TOXIC MEGACOLON",INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K59.4,ANAL SPASM; PROCTALGIA FUGAX,,11,Disease of the digestive system,Other diseases of intestines,1
K59.8,OTHER SPECIFIED FUNCTIONAL INTESTINAL DISORDERS; ATONY OF COLON,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K59.9,"FUNCTIONAL INTESTINAL DISORDER, UNSPECIFIED",INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K60.0,ACUTE ANAL FISSURE,,11,Disease of the digestive system,Other diseases of intestines,1
K60.1,CHRONIC ANAL FISSURE,,11,Disease of the digestive system,Other diseases of intestines,1
K60.2,"ANAL FISSURE, UNSPECIFIED",,11,Disease of the digestive system,Other diseases of intestines,1
K60.3,ANAL FISTULA,,11,Disease of the digestive system,Other diseases of intestines,1
K60.4,RECTAL FISTULA; FISTULA OF RECTUM TO SKIN,,11,Disease of the digestive system,Other diseases of intestines,1
K60.5,ANORECTAL FISTULA,,11,Disease of the digestive system,Other diseases of intestines,1
K61.0,ANAL ABSCESS; PERIANAL ABSCESS/ CELLULITIS,,11,Disease of the digestive system,Other diseases of intestines,1
K61.1,RECTAL ABSCESS; PERIRECTAL ABSCESS/CELLULITIS,,11,Disease of the digestive system,Other diseases of intestines,1
K61.2,ANORECTAL ABSCESS/CELLULITIS,,11,Disease of the digestive system,Other diseases of intestines,1
K61.3,ISCHIORECTAL ABSCESS; ABSCESS/ CELLULITIS OF ISCHIORECTAL FOSSA,,11,Disease of the digestive system,Other diseases of intestines,1
K61.4,INTRASPHINCTERIC ABSCESS/ CELLULITIS,,11,Disease of the digestive system,Other diseases of intestines,1
K62.0,ANAL POLYP,,11,Disease of the digestive system,Other diseases of intestines,1
K62.1,RECTAL POLYP,,11,Disease of the digestive system,Other diseases of intestines,1
K62.2,ANAL PROLAPSE; PROLAPSE OF ANAL CANAL,,11,Disease of the digestive system,Other diseases of intestines,1
K62.3,RECTAL PROLAPSE; PROLAPSE OF RECTAL MUCOSA,,11,Disease of the digestive system,Other diseases of intestines,1
K62.4,STENOSIS OF ANUS AND RECTUM; SPHINCTER STRICTURE OF ANUS,,11,Disease of the digestive system,Other diseases of intestines,1
K62.5,HAEMORRHAGE OF ANUS AND RECTUM,,11,Disease of the digestive system,Other diseases of intestines,1
K62.6,ULCER OF ANUS AND RECTUM; SOLITARY ULCER; STERCORAL ULCER,,11,Disease of the digestive system,Other diseases of intestines,1
K62.7,RADIATION PROCTITIS,,11,Disease of the digestive system,Other diseases of intestines,1
K62.8,OTHER SPECIFIED DISEASES OF ANUS AND RECTUM; NONTRAUMATIC PERFORATION OF RECTUM; PROCTITIS NOS,,11,Disease of the digestive system,Other diseases of intestines,1
K62.9,"DISEASE OF ANUS AND RECTUM, UNSPECIFIED",,11,Disease of the digestive system,Other diseases of intestines,1
K63.0,ABSCESS OF INTESTINE,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K63.1,PERFORATION OF INTESTINE (NONTRAUMATIC),INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K63.2,FISTULA OF INTESTINE,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K63.3,ULCER OF INTESTINE; PRIMARY ULCER OF SMALL INTESTINE,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K63.4,ENTEROPTOSIS; COLOPTOSIS,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K63.5,POLYP OF COLON,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K63.8,OTHER SPECIFIED DISEASES OF INTESTINE,INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K63.9,"DISEASE OF INTESTINE, UNSPECIFIED",INTESTINAL DISORDERS,11,Disease of the digestive system,Other diseases of intestines,1
K65.0,ACUTE PERITONITIS; ABDOMINOPELVIC ABSCESS; MESENTERIC ABSCESS; ABSCESS OF OMENTUM; ABSCESS OF PERITONEUM; RETROCAECAL ABSCESS; RETROPERITONEAL ABSCESS; SUBDIAPHRAGMATIC ABSCESS; SUBHEPATIC ABSCESS; SUBPHRENIC ABSCESS; GENERALIZED ACUTE PERITONITIS; ACUTE MALE PELVIC PERITONITIS; ACUTE SUBPHRENIC PERITONITIS; ACUTE SUPPURATIVE PERITONITIS ,PERITONITIS,11,Disease of the digestive system,Diseases of peritoneum,1
